Level;SkillEffect0Value0;SkillEffect0Value1;SkillEffect1Value0;SkillEffect1Value1
int;float;float;float;float
1;5.000;2;0.100;2
2;5.500;2;0.101;2
3;6.000;2;0.102;2
4;6.500;2;0.103;2
5;7.500;2;0.105;2
6;8.000;2;0.106;2
7;8.500;2;0.107;2
8;9.000;2;0.108;2
9;9.500;2;0.109;2
10;10.500;2;0.111;2
11;11.000;2;0.112;2
12;11.500;2;0.113;2
13;12.000;2;0.114;2
14;12.500;2;0.115;2
15;13.500;2;0.117;2
16;14.000;2;0.118;2
17;14.500;2;0.119;2
18;15.000;2;0.120;2
19;15.500;2;0.121;2
20;16.500;2;0.123;2
21;17.000;2;0.124;2
22;17.500;2;0.125;2
23;18.000;2;0.126;2
24;18.500;2;0.127;2
25;19.500;2;0.129;2
26;20.000;2;0.130;2
27;20.500;2;0.131;2
28;21.000;2;0.132;2
29;21.500;2;0.133;2
30;22.500;2;0.135;2
31;23.000;2;0.136;2
32;23.500;2;0.137;2
33;24.000;2;0.138;2
34;24.500;2;0.139;2
35;25.500;2;0.141;2
36;26.000;2;0.142;2
37;26.500;2;0.143;2
38;27.000;2;0.144;2
39;27.500;2;0.145;2
40;28.000;3;0.146;3
