Level;SkillEffect0Value0;SkillEffect0Value1;SkillEffect1Value0;SkillEffect1Value1
int;float;float;float;float
1;0.500;1;100;1
2;0.501;1;100;1
3;0.502;1;100;1
4;0.503;1;100;1
5;0.505;1;100;1
6;0.506;1;100;1
7;0.507;1;100;1
8;0.508;1;100;1
9;0.509;1;100;1
10;0.511;1;100;1
11;0.512;1;100;1
12;0.513;1;100;1
13;0.514;1;100;1
14;0.515;1;100;1
15;0.517;1;100;1
16;0.518;1;100;1
17;0.519;1;100;1
18;0.520;1;100;1
19;0.521;1;100;1
20;0.523;1;100;2
21;0.524;1;100;2
22;0.525;1;100;2
23;0.526;1;100;2
24;0.527;1;100;2
25;0.528;1;100;2
26;0.529;1;100;2
27;0.530;1;100;2
28;0.531;1;100;2
29;0.532;1;100;2
30;0.534;1;100;2
31;0.535;1;100;2
32;0.536;1;100;2
33;0.537;1;100;2
34;0.538;1;100;2
35;0.540;1;100;2
36;0.541;1;100;2
37;0.542;1;100;2
38;0.543;1;100;2
39;0.544;1;100;2
40;0.546;1;100;2
