Level;SkillEffect0Value0;SkillEffect0Value1
int;float;float
1;2.0;0.1
2;2.04;0.1
3;2.08;0.1
4;2.12;0.1
5;2.2;0.1
6;2.24;0.1
7;2.28;0.1
8;2.32;0.1
9;2.36;0.1
10;2.44;0.1
11;2.48;0.1
12;2.52;0.1
13;2.56;0.1
14;2.6;0.1
15;2.68;0.1
16;2.72;0.1
17;2.76;0.1
18;2.8;0.1
19;2.84;0.1
20;2.92;0.1
21;2.96;0.1
22;3.0;0.1
23;3.04;0.1
24;3.08;0.1
25;3.16;0.1
26;3.2;0.1
27;3.24;0.1
28;3.28;0.1
29;3.32;0.1
30;3.4;0.1
31;3.34;0.1
32;3.48;0.1
33;3.52;0.1
34;3.56;0.1
35;3.64;0.1
36;3.68;0.1
37;3.72;0.1
38;3.76;0.1
39;3.8;0.1
40;3.88;0.1
