Level;SkillEffect0Value0;SkillEffect0Value1;SkillEffect1Value0;SkillEffect1Value1;SkillEffect2Value0;SkillEffect2Value1
int;float;float;float;float;float;float
1;0;0;0.100;2;0.150;2
2;0;0;0.101;2;0.149;2
3;0;0;0.101;2;0.148;2
4;0;0;0.102;2;0.147;2
5;0;0;0.103;2;0.146;2
6;0;0;0.103;2;0.145;2
7;0;0;0.104;2;0.144;2
8;0;0;0.104;2;0.143;2
9;0;0;0.105;2;0.142;2
10;0;0;0.106;2;0.141;2
11;0;0;0.106;2;0.140;2
12;0;0;0.107;2;0.139;2
13;0;0;0.107;2;0.138;2
14;0;0;0.108;2;0.137;2
15;0;0;0.109;2;0.136;2
16;0;0;0.109;2;0.135;2
17;0;0;0.110;2;0.134;2
18;0;0;0.110;2;0.133;2
19;0;0;0.111;2;0.132;2
20;0;0;0.112;2;0.131;2
21;0;0;0.112;2;0.130;2
22;0;0;0.113;2;0.129;2
23;0;0;0.113;2;0.128;2
24;0;0;0.114;2;0.127;2
25;0;0;0.115;2;0.126;2
26;0;0;0.115;2;0.125;2
27;0;0;0.116;2;0.124;2
28;0;0;0.116;2;0.123;2
29;0;0;0.117;2;0.122;2
30;0;0;0.118;2;0.121;2
31;0;0;0.118;2;0.120;2
32;0;0;0.119;2;0.119;2
33;0;0;0.119;2;0.118;2
34;0;0;0.120;2;0.117;2
35;0;0;0.121;2;0.116;2
36;0;0;0.121;2;0.115;2
37;0;0;0.122;2;0.114;2
38;0;0;0.122;2;0.113;2
39;0;0;0.123;2;0.112;2
40;0;0;0.123;3;0.111;3
