Level;SkillEffect0Value0;SkillEffect0Value1
int;float;float
1;10.000;2
2;11.000;2
3;12.000;2
4;13.000;2
5;14.500;2
6;15.500;2
7;16.500;2
8;17.500;2
9;18.500;2
10;20.000;2
11;21.000;2
12;22.000;2
13;23.000;2
14;24.000;2
15;25.500;2
16;26.500;2
17;27.500;2
18;28.500;2
19;29.500;2
20;30.500;3
21;31.500;3
22;32.500;3
23;33.500;3
24;34.500;3
25;36.000;3
26;37.000;3
27;38.000;3
28;39.000;3
29;40.000;3
30;41.500;3
31;42.500;3
32;43.500;3
33;44.500;3
34;45.500;3
35;47.000;3
36;48.000;3
37;49.000;3
38;50.000;3
39;51.000;3
40;52.000;4
