Level;SkillEffect0Value0;SkillEffect0Value1
int;float;float
1;0.050;-1
2;0.051;-1
3;0.052;-1
4;0.053;-1
5;0.055;-1
6;0.056;-1
7;0.057;-1
8;0.058;-1
9;0.059;-1
10;0.061;-1
11;0.062;-1
12;0.063;-1
13;0.064;-1
14;0.065;-1
15;0.067;-1
16;0.068;-1
17;0.069;-1
18;0.070;-1
19;0.071;-1
20;0.072;-1
21;0.073;-1
22;0.074;-1
23;0.075;-1
24;0.076;-1
25;0.078;-1
26;0.079;-1
27;0.080;-1
28;0.081;-1
29;0.082;-1
30;0.084;-1
31;0.085;-1
32;0.086;-1
33;0.087;-1
34;0.088;-1
35;0.090;-1
36;0.091;-1
37;0.092;-1
38;0.093;-1
39;0.094;-1
40;0.096;-1
