Level;SkillEffect0Value0;SkillEffect0Value1;SkillEffect1Value0;SkillEffect1Value1
int;float;float;float;float
1;0.500;1;0.060;1
2;0.505;1;0.061;1
3;0.510;1;0.062;1
4;0.515;1;0.063;1
5;0.525;1;0.065;1
6;0.530;1;0.066;1
7;0.535;1;0.067;1
8;0.540;1;0.068;1
9;0.545;1;0.069;1
10;0.555;1;0.070;2
11;0.560;1;0.071;2
12;0.565;1;0.072;2
13;0.570;1;0.073;2
14;0.575;1;0.074;2
15;0.585;1;0.076;2
16;0.590;1;0.077;2
17;0.595;1;0.078;2
18;0.600;1;0.079;2
19;0.605;1;0.080;2
20;0.615;1;0.082;2
21;0.620;1;0.083;2
22;0.625;1;0.084;2
23;0.630;1;0.085;2
24;0.635;1;0.086;2
25;0.645;1;0.087;2
26;0.650;1;0.088;2
27;0.655;1;0.089;2
28;0.660;1;0.090;2
29;0.665;1;0.091;2
30;0.675;1;0.093;2
31;0.680;1;0.094;2
32;0.685;1;0.095;2
33;0.690;1;0.096;2
34;0.695;1;0.097;2
35;0.705;1;0.099;2
36;0.710;1;0.100;2
37;0.715;1;0.101;2
38;0.720;1;0.102;2
39;0.725;1;0.103;2
40;0.730;2;0.104;2
