Level;SkillEffect0Value0;SkillEffect0Value1
int;float;float
1;0.000;0.4
2;0.000;0.405
3;0.000;0.41
4;0.000;0.415
5;0.000;0.425
6;0.000;0.43
7;0.000;0.435
8;0.000;0.44
9;0.000;0.445
10;0.000;0.455
11;0.000;0.46
12;0.000;0.465
13;0.000;0.47
14;0.000;0.475
15;0.000;0.485
16;0.000;0.49
17;0.000;0.495
18;0.000;0.5
19;0.000;0.505
20;0.000;0.515
21;0.000;0.52
22;0.000;0.525
23;0.000;0.53
24;0.000;0.535
25;0.000;0.545
26;0.000;0.55
27;0.000;0.555
28;0.000;0.56
29;0.000;0.565
30;0.000;0.575
31;0.000;0.58
32;0.000;0.585
33;0.000;0.59
34;0.000;0.595
35;0.000;0.605
36;0.000;0.61
37;0.000;0.615
38;0.000;0.62
39;0.000;0.625
40;0.000;0.635
