Level;SkillEffect0Value0;SkillEffect0Value1;SkillEffect1Value0;SkillEffect1Value1
int;float;float;float;float
1;0.000;0.050;0.000;0.950
2;0.000;0.051;0.000;0.949
3;0.000;0.052;0.000;0.948
4;0.000;0.053;0.000;0.947
5;0.000;0.055;0.000;0.945
6;0.000;0.056;0.000;0.944
7;0.000;0.057;0.000;0.943
8;0.000;0.058;0.000;0.942
9;0.000;0.059;0.000;0.941
10;0.000;0.061;0.000;0.939
11;0.000;0.062;0.000;0.938
12;0.000;0.063;0.000;0.937
13;0.000;0.064;0.000;0.936
14;0.000;0.065;0.000;0.935
15;0.000;0.067;0.000;0.933
16;0.000;0.068;0.000;0.932
17;0.000;0.069;0.000;0.931
18;0.000;0.070;0.000;0.930
19;0.000;0.071;0.000;0.929
20;0.000;0.072;0.000;0.928
21;0.000;0.073;0.000;0.927
22;0.000;0.074;0.000;0.926
23;0.000;0.075;0.000;0.925
24;0.000;0.076;0.000;0.924
25;0.000;0.078;0.000;0.922
26;0.000;0.079;0.000;0.921
27;0.000;0.080;0.000;0.920
28;0.000;0.081;0.000;0.919
29;0.000;0.082;0.000;0.918
30;0.000;0.084;0.000;0.916
31;0.000;0.085;0.000;0.915
32;0.000;0.086;0.000;0.914
33;0.000;0.087;0.000;0.913
34;0.000;0.088;0.000;0.912
35;0.000;0.090;0.000;0.910
36;0.000;0.091;0.000;0.909
37;0.000;0.092;0.000;0.908
38;0.000;0.093;0.000;0.907
39;0.000;0.094;0.000;0.906
40;0.000;0.095;0.000;0.905
