Level;SkillEffect0Value0;SkillEffect0Value1;SkillEffect1Value0;SkillEffect1Value1
int;float;float;float;float
1;0;0;0;0.2
2;0;0;0;0.205
3;0;0;0;0.21
4;0;0;0;0.215
5;0;0;0;0.225
6;0;0;0;0.23
7;0;0;0;0.235
8;0;0;0;0.24
9;0;0;0;0.245
10;0;0;0;0.255
11;0;0;0;0.26
12;0;0;0;0.265
13;0;0;0;0.27
14;0;0;0;0.275
15;0;0;0;0.285
16;0;0;0;0.29
17;0;0;0;0.295
18;0;0;0;0.3
19;0;0;0;0.305
20;0;0;0;0.315
21;0;0;0;0.32
22;0;0;0;0.325
23;0;0;0;0.33
24;0;0;0;0.335
25;0;0;0;0.345
26;0;0;0;0.35
27;0;0;0;0.355
28;0;0;0;0.36
29;0;0;0;0.365
30;0;0;0;0.375
31;0;0;0;0.38
32;0;0;0;0.385
33;0;0;0;0.39
34;0;0;0;0.395
35;0;0;0;0.405
36;0;0;0;0.41
37;0;0;0;0.415
38;0;0;0;0.42
39;0;0;0;0.425
40;0;0;0;0.435
