Rank;Level;HP;Damage;Defense;Resistance;Speed;DamageType;Color;Element;FireResistance;WaterResistance;WindResistance;EarthResistance;XP;LevelSkill0;LevelSkill1;ChancetoUseSkill
string;int;int;int;int;int;int;int;string;int;float;float;float;float;int;int;int;float
Noob Overseer;1;180;20;8;8;14;1;#00FFFFFF;4;0.5;1.5;1.0;1.0;26;1;1;0.5
Overseer;5;340;31;16;16;24;1;#cccccc;4;0.5;1.5;1.0;1.0;90;2;2;0.6
Elite Overseer;10;;;;;;;;;;;;;;;;
Sargeant Overseer;15;;;;;;;;;;;;;;;;
Lieutenant Overseer;20;;;;;;;;;;;;;;;;
Captain Overseer;25;;;;;;;;;;;;;;;;
Major Overseer;30;;;;;;;;;;;;;;;;
Colonel Overseer;35;;;;;;;;;;;;;;;;
General Overseer;40;;;;;;;;;;;;;;;;
