Rank;Level;HP;Damage;Defense;Resistance;Speed;DamageType;Color;Element;FireResistance;WaterResistance;WindResistance;EarthResistance;XP;LevelSkill0;LevelSkill1;ChancetoUseSkill
string;int;int;int;int;int;int;int;string;int;float;float;float;float;int;int;int;float
Noob Skeleton;1;230;17;10;10;9;0;#00FFFFFF;4;1.5;1;1;0.5;26;1;1;0.3
Skeleton;5;380;29;18;18;17;0;#cccccc;4;1.5;1;1;0.5;90;2;2;0.3
Elite Skeleton;10;;;;;;;;;;;;;;;;
Sargeant Skeleton;15;;;;;;;;;;;;;;;;
Lieutenant Skeleton;20;;;;;;;;;;;;;;;;
Captain Skeleton;25;;;;;;;;;;;;;;;;
Major Skeleton;30;;;;;;;;;;;;;;;;
Colonel Skeleton;35;;;;;;;;;;;;;;;;
General Skeleton;40;;;;;;;;;;;;;;;;
