Name;Level;HP;Damage;Defense;Resistance;Speed
string;int;int;int;int;int;int
Gregorin;1;51;12;9;9;8
Gregorin;2;55;14;11;11;10
Gregorin;3;58;16;13;13;12
Gregorin;4;61;18;16;16;14
Gregorin;5;65;21;18;18;16
Gregorin;6;69;24;20;20;18
Gregorin;7;72;26;22;22;21
Gregorin;8;76;29;25;25;23
Gregorin;9;80;32;27;27;25
Gregorin;10;84;34;30;30;28
Gregorin;11;88;37;32;32;30
Gregorin;12;93;40;35;35;32
Gregorin;13;97;43;37;37;35
Gregorin;14;102;46;40;40;37
Gregorin;15;106;49;43;43;40
Gregorin;16;111;52;46;46;42
Gregorin;17;116;55;48;48;45
Gregorin;18;121;59;51;51;48
Gregorin;19;127;62;54;54;50
Gregorin;20;132;65;57;57;53
Gregorin;21;138;69;60;60;56
Gregorin;22;143;73;63;63;59
Gregorin;23;149;76;67;67;62
Gregorin;24;155;80;70;70;65
Gregorin;25;161;84;73;73;68
Gregorin;26;168;88;77;77;71
Gregorin;27;174;92;80;80;74
Gregorin;28;181;96;83;83;78
Gregorin;29;188;100;87;87;81
Gregorin;30;195;104;91;91;84
Gregorin;31;203;108;94;94;88
Gregorin;32;211;113;98;98;91
Gregorin;33;218;117;102;102;95
Gregorin;34;226;122;106;106;98
Gregorin;35;235;126;110;110;102
Gregorin;36;243;131;114;114;106
Gregorin;37;252;136;118;118;109
Gregorin;38;261;141;122;122;113
Gregorin;39;270;146;127;127;117
Gregorin;40;280;151;131;131;121
Gregorin;41;290;157;135;135;125
Gregorin;42;300;162;140;140;129
Gregorin;43;310;168;145;145;134
Gregorin;44;321;173;149;149;138
Gregorin;45;332;179;154;154;142
Gregorin;46;344;185;159;159;147
Gregorin;47;355;191;164;164;151
Gregorin;48;367;197;169;169;156
Gregorin;49;380;203;174;174;161
Gregorin;50;393;210;180;180;166
Gregorin;51;406;216;185;185;170
Gregorin;52;419;223;191;191;175
Gregorin;53;433;230;196;196;181
Gregorin;54;447;237;202;202;186
Gregorin;55;462;244;208;208;191
Gregorin;56;477;251;214;214;196
Gregorin;57;493;259;220;220;202
Gregorin;58;509;266;226;226;207
Gregorin;59;525;274;232;232;213
Gregorin;60;542;282;239;239;219
Gregorin;61;560;290;245;245;225
Gregorin;62;578;298;252;252;231
Gregorin;63;596;307;259;259;237
Gregorin;64;615;315;266;266;243
Gregorin;65;635;324;273;273;249
Gregorin;66;655;333;280;280;256
Gregorin;67;676;342;287;287;262
Gregorin;68;697;352;295;295;269
Gregorin;69;719;361;302;302;276
Gregorin;70;742;371;310;310;283
Gregorin;71;765;381;318;318;290
Gregorin;72;789;391;326;326;297
Gregorin;73;814;401;334;334;304
Gregorin;74;839;412;343;343;311
Gregorin;75;865;423;351;351;319
Gregorin;76;892;434;360;360;327
Gregorin;77;919;445;369;369;335
Gregorin;78;948;457;378;378;343
Gregorin;79;977;468;387;387;351
Gregorin;80;1,007;481;397;397;359
Gregorin;81;1,038;493;406;406;367
Gregorin;82;1,070;505;416;416;376
Gregorin;83;1,103;518;426;426;385
Gregorin;84;1,137;531;436;436;394
Gregorin;85;1,171;545;446;446;403
Gregorin;86;1,207;558;457;457;412
Gregorin;87;1,244;572;468;468;421
Gregorin;88;1,281;586;479;479;431
Gregorin;89;1,320;601;490;490;441
Gregorin;90;1,360;616;501;501;451
Gregorin;91;1,402;631;513;513;461
Gregorin;92;1,444;646;524;524;471
Gregorin;93;1,488;662;537;537;481
Gregorin;94;1,533;678;549;549;492
Gregorin;95;1,579;695;561;561;503
Gregorin;96;1,626;712;574;574;514
Gregorin;97;1,675;729;587;587;525
Gregorin;98;1,726;746;600;600;537
Gregorin;99;1,777;764;614;614;548
Gregorin;100;1,831;783;628;628;560
