Name;Level;HP;Damage;Defense;Resistance;Speed
string;int;int;int;int;int;int
Herman;1;144;12;7;7;12
Herman;2;148;15;9;9;15
Herman;3;153;17;11;11;17
Herman;4;157;20;13;13;20
Herman;5;162;23;15;15;23
Herman;6;167;25;17;17;25
Herman;7;172;28;19;19;28
Herman;8;177;31;21;21;31
Herman;9;182;34;23;23;34
Herman;10;188;37;25;25;37
Herman;11;193;40;28;28;40
Herman;12;199;43;30;30;43
Herman;13;205;46;32;32;46
Herman;14;212;49;34;34;49
Herman;15;219;52;37;37;52
Herman;16;225;56;39;39;56
Herman;17;233;59;42;42;59
Herman;18;240;62;44;44;62
Herman;19;248;66;47;47;66
Herman;20;256;70;49;49;70
Herman;21;264;73;52;52;73
Herman;22;272;77;55;55;77
Herman;23;281;81;57;57;81
Herman;24;290;85;60;60;85
Herman;25;300;89;63;63;89
Herman;26;310;93;66;66;93
Herman;27;320;97;69;69;97
Herman;28;331;102;72;72;102
Herman;29;342;106;75;75;106
Herman;30;353;111;78;78;111
Herman;31;365;115;81;81;115
Herman;32;377;120;84;84;120
Herman;33;390;125;88;88;125
Herman;34;403;130;91;91;130
Herman;35;417;135;94;94;135
Herman;36;431;140;98;98;140
Herman;37;446;145;101;101;145
Herman;38;461;151;105;105;151
Herman;39;477;156;108;108;156
Herman;40;493;162;112;112;162
Herman;41;510;168;116;116;168
Herman;42;528;174;119;119;174
Herman;43;546;180;123;123;180
Herman;44;565;186;127;127;186
Herman;45;585;192;131;131;192
Herman;46;605;199;135;135;199
Herman;47;626;205;139;139;205
Herman;48;648;212;144;144;212
Herman;49;671;219;148;148;219
Herman;50;695;226;152;152;226
Herman;51;719;233;157;157;233
Herman;52;744;240;161;161;240
Herman;53;771;248;166;166;248
Herman;54;798;256;170;170;256
Herman;55;826;263;175;175;263
Herman;56;855;271;180;180;271
Herman;57;886;280;185;185;280
Herman;58;917;288;190;190;288
Herman;59;950;297;195;195;297
Herman;60;984;305;200;200;305
Herman;61;1,019;314;205;205;314
Herman;62;1,055;323;211;211;323
Herman;63;1,093;333;216;216;333
Herman;64;1,132;342;221;221;342
Herman;65;1,173;352;227;227;352
Herman;66;1,215;362;233;233;362
Herman;67;1,259;372;239;239;372
Herman;68;1,304;383;245;245;383
Herman;69;1,351;393;251;251;393
Herman;70;1,399;404;257;257;404
Herman;71;1,450;415;263;263;415
Herman;72;1,502;427;269;269;427
Herman;73;1,556;438;276;276;438
Herman;74;1,612;450;282;282;450
Herman;75;1,671;462;289;289;462
Herman;76;1,731;475;296;296;475
Herman;77;1,794;488;303;303;488
Herman;78;1,859;501;310;310;501
Herman;79;1,926;514;317;317;514
Herman;80;1,996;527;324;324;527
Herman;81;2,068;541;331;331;541
Herman;82;2,144;556;339;339;556
Herman;83;2,221;570;347;347;570
Herman;84;2,302;585;354;354;585
Herman;85;2,386;600;362;362;600
Herman;86;2,473;615;370;370;615
Herman;87;2,563;631;379;379;631
Herman;88;2,656;647;387;387;647
Herman;89;2,753;664;395;395;664
Herman;90;2,853;681;404;404;681
Herman;91;2,957;698;413;413;698
Herman;92;3,065;716;422;422;716
Herman;93;3,177;734;431;431;734
Herman;94;3,293;752;440;440;752
Herman;95;3,413;771;450;450;771
Herman;96;3,538;790;459;459;790
Herman;97;3,667;810;469;469;810
Herman;98;3,801;830;479;479;830
Herman;99;3,940;851;489;489;851
Herman;100;4,085;872;499;499;872
