Name;Level;HP;Damage;Defense;Resistance;Speed
string;int;int;int;int;int;int
Xander;1;51;9;7;12;10
Xander;2;54;11;9;15;12
Xander;3;57;13;11;17;15
Xander;4;61;16;13;20;17
Xander;5;64;18;15;23;19
Xander;6;67;20;17;25;22
Xander;7;71;22;19;28;24
Xander;8;74;25;21;31;27
Xander;9;78;27;23;34;29
Xander;10;81;30;25;37;32
Xander;11;85;32;28;40;35
Xander;12;89;35;30;43;37
Xander;13;93;37;32;46;40
Xander;14;97;40;34;49;43
Xander;15;102;43;37;52;46
Xander;16;106;46;39;56;49
Xander;17;111;48;42;59;52
Xander;18;115;51;44;62;55
Xander;19;120;54;47;66;58
Xander;20;125;57;49;70;61
Xander;21;130;60;52;73;65
Xander;22;135;63;55;77;68
Xander;23;140;67;57;81;71
Xander;24;146;70;60;85;75
Xander;25;151;73;63;89;78
Xander;26;157;77;66;93;82
Xander;27;163;80;69;97;86
Xander;28;169;83;72;102;89
Xander;29;175;87;75;106;93
Xander;30;181;91;78;111;97
Xander;31;188;94;81;115;101
Xander;32;195;98;84;120;105
Xander;33;201;102;88;125;109
Xander;34;208;106;91;130;114
Xander;35;216;110;94;135;118
Xander;36;223;114;98;140;122
Xander;37;231;118;101;145;127
Xander;38;239;122;105;151;131
Xander;39;247;127;108;156;136
Xander;40;255;131;112;162;141
Xander;41;264;135;116;168;146
Xander;42;272;140;119;174;151
Xander;43;281;145;123;180;156
Xander;44;291;149;127;186;161
Xander;45;300;154;131;192;166
Xander;46;310;159;135;199;172
Xander;47;320;164;139;205;177
Xander;48;330;169;144;212;183
Xander;49;341;174;148;219;189
Xander;50;351;180;152;226;194
Xander;51;363;185;157;233;200
Xander;52;374;191;161;240;206
Xander;53;386;196;166;248;213
Xander;54;398;202;170;256;219
Xander;55;410;208;175;263;225
Xander;56;423;214;180;271;232
Xander;57;436;220;185;280;239
Xander;58;449;226;190;288;246
Xander;59;463;232;195;297;253
Xander;60;477;239;200;305;260
Xander;61;492;245;205;314;267
Xander;62;507;252;211;323;274
Xander;63;522;259;216;333;282
Xander;64;538;266;221;342;290
Xander;65;554;273;227;352;298
Xander;66;571;280;233;362;306
Xander;67;588;287;239;372;314
Xander;68;605;295;245;383;322
Xander;69;623;302;251;393;331
Xander;70;642;310;257;404;339
Xander;71;661;318;263;415;348
Xander;72;680;326;269;427;357
Xander;73;700;334;276;438;367
Xander;74;721;343;282;450;376
Xander;75;742;351;289;462;386
Xander;76;763;360;296;475;396
Xander;77;786;369;303;488;406
Xander;78;809;378;310;501;416
Xander;79;832;387;317;514;426
Xander;80;856;397;324;527;437
Xander;81;881;406;331;541;448
Xander;82;906;416;339;556;459
Xander;83;933;426;347;570;470
Xander;84;959;436;354;585;482
Xander;85;987;446;362;600;494
Xander;86;1,015;457;370;615;506
Xander;87;1,044;468;379;631;518
Xander;88;1,074;479;387;647;530
Xander;89;1,105;490;395;664;543
Xander;90;1,137;501;404;681;556
Xander;91;1,169;513;413;698;569
Xander;92;1,202;524;422;716;583
Xander;93;1,236;537;431;734;597
Xander;94;1,271;549;440;752;611
Xander;95;1,307;561;450;771;625
Xander;96;1,344;574;459;790;640
Xander;97;1,382;587;469;810;655
Xander;98;1,421;600;479;830;670
Xander;99;1,461;614;489;851;686
Xander;100;1,502;628;499;872;701
