Level,Skill Effect 0 Value 0,Skill Effect 0 Value 1,Skill Effect 1 Value 0,Skill Effect 1 Value 1,Cost
long,float,float,float,float,float
1,0.050,3,0.050,3,0.1
2,0.051,3,0.051,3,0.1
3,0.052,3,0.052,3,0.1
4,0.053,3,0.053,3,0.1
5,0.055,3,0.055,3,0.1
6,0.056,3,0.056,3,0.1
7,0.057,3,0.057,3,0.1
8,0.058,3,0.058,3,0.1
9,0.059,3,0.059,3,0.1
10,0.061,3,0.061,3,0.1
11,0.062,3,0.062,3,0.1
12,0.063,3,0.063,3,0.1
13,0.064,3,0.064,3,0.1
14,0.065,3,0.065,3,0.1
15,0.067,3,0.067,3,0.1
16,0.068,3,0.068,3,0.1
17,0.069,3,0.069,3,0.1
18,0.070,3,0.070,3,0.1
19,0.071,3,0.071,3,0.1
20,0.081,3,0.081,3,0.1
21,0.082,3,0.082,3,0.1
22,0.083,3,0.083,3,0.1
23,0.084,3,0.084,3,0.1
24,0.085,3,0.085,3,0.1
25,0.087,4,0.087,4,0.1
26,0.088,4,0.088,4,0.1
27,0.089,4,0.089,4,0.1
28,0.090,4,0.090,4,0.1
29,0.091,4,0.091,4,0.1
30,0.093,4,0.093,4,0.1
31,0.094,4,0.094,4,0.1
32,0.095,4,0.095,4,0.1
33,0.096,4,0.096,4,0.1
34,0.097,4,0.097,4,0.1
35,0.099,4,0.099,4,0.1
36,0.100,4,0.100,4,0.1
37,0.101,4,0.101,4,0.1
38,0.102,4,0.102,4,0.1
39,0.103,4,0.103,4,0.1
40,0.113,4,0.113,4,0.1
