Level,Skill Effect 0 Value 0,Skill Effect 0 Value 1,Skill Effect 1 Value 0,Skill Effect 1 Value 1,Skill Effect 2 Value 0,Skill Effect 2 Value 1,Cost
1,0.1,,,,,,0.1
2,0.12,,,,,,0.1
3,0.14,,,,,,0.1
4,0.16,,,,,,0.1
5,0.2,,,,,,0.1
6,0.22,,,,,,0.1
7,0.24,,,,,,0.1
8,0.26,,,,,,0.1
9,0.28,,,,,,0.1
10,0.32,,,,,,0.1
11,0.34,,,,,,0.1
12,0.36,,,,,,0.1
13,0.38,,,,,,0.1
14,0.4,,,,,,0.1
15,0.44,,,,,,0.1
16,0.46,,,,,,0.1
17,0.48,,,,,,0.1
18,0.5,,,,,,0.1
19,0.52,,,,,,0.1
20,0.56,,,,,,0.1
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
