Level;XPNextLevel;XPAccumulated
int;int;int
1;111;111
2;222;333
3;333;666
4;444;1110
5;555;1665
6;666;2331
7;777;3108
8;888;3996
9;999;4995
10;1110;6105
11;1221;7326
12;1332;8658
13;1443;10101
14;1554;11655
15;1665;13320
16;1776;15096
17;1887;16983
18;1998;18981
19;2109;21090
20;2220;23310
21;2331;25641
22;2442;28083
23;2553;30636
24;2664;33300
25;2775;36075
26;2886;38961
27;2997;41958
28;3108;45066
29;3219;48285
30;3330;51615
31;3441;55056
32;3552;58608
33;3663;62271
34;3774;66045
35;3885;69930
36;3996;73926
37;4107;78033
38;4218;82251
39;4329;86580
40;4440;91020
41;4551;95571
42;4662;100233
43;4773;105006
44;4884;109890
45;4995;114885
46;5106;119991
47;5217;125208
48;5328;130536
49;5439;135975
50;5550;141525
51;5661;147186
52;5772;152958
53;5883;158841
54;5994;164835
55;6105;170940
56;6216;177156
57;6327;183483
58;6438;189921
59;6549;196470
60;6660;203130
61;6771;209901
62;6882;216783
63;6993;223776
64;7104;230880
65;7215;238095
66;7326;245421
67;7437;252858
68;7548;260406
69;7659;268065
70;7770;275835
71;7881;283716
72;7992;291708
73;8103;299811
74;8214;308025
75;8325;316350
76;8436;324786
77;8547;333333
78;8658;341991
79;8769;350760
80;8880;359640
81;8991;368631
82;9102;377733
83;9213;386946
84;9324;396270
85;9435;405705
86;9546;415251
87;9657;424908
88;9768;434676
89;9879;444555
90;9990;454545
91;10101;464646
92;10212;474858
93;10323;485181
94;10434;495615
95;10545;506160
96;10656;516816
97;10767;527583
98;10878;538461
99;10989;549450
100;11100;560550
