Level;XPNextLevel;XPAccumulated
int;intlong;long
1;999;999
2;1998;2997
3;2997;5994
4;3996;9990
5;4995;14985
6;5994;20979
7;6993;27972
8;7992;35964
9;8991;44955
10;9990;54945
11;10989;65934
12;11988;77922
13;12987;90909
14;13986;104895
15;14985;119880
16;15984;135864
17;16983;152847
18;17982;170829
19;18981;189810
20;19980;209790
21;20979;230769
22;21978;252747
23;22977;275724
24;23976;299700
25;24975;324675
26;25974;350649
27;26973;377622
28;27972;405594
29;28971;434565
30;29970;464535
31;30969;495504
32;31968;527472
33;32967;560439
34;33966;594405
35;34965;629370
36;35964;665334
37;36963;702297
38;37962;740259
39;38961;779220
40;39960;819180
41;40959;860139
42;41958;902097
43;42957;945054
44;43956;989010
45;44955;1033965
46;45954;1079919
47;46953;1126872
48;47952;1174824
49;48951;1223775
50;49950;1273725
51;50949;1324674
52;51948;1376622
53;52947;1429569
54;53946;1483515
55;54945;1538460
56;55944;1594404
57;56943;1651347
58;57942;1709289
59;58941;1768230
60;59940;1828170
61;60939;1889109
62;61938;1951047
63;62937;2013984
64;63936;2077920
65;64935;2142855
66;65934;2208789
67;66933;2275722
68;67932;2343654
69;68931;2412585
70;69930;2482515
71;70929;2553444
72;71928;2625372
73;72927;2698299
74;73926;2772225
75;74925;2847150
76;75924;2923074
77;76923;2999997
78;77922;3077919
79;78921;3156840
80;79920;3236760
81;80919;3317679
82;81918;3399597
83;82917;3482514
84;83916;3566430
85;84915;3651345
86;85914;3737259
87;86913;3824172
88;87912;3912084
89;88911;4000995
90;89910;4090905
91;90909;4181814
92;91908;4273722
93;92907;4366629
94;93906;4460535
95;94905;4555440
96;95904;4651344
97;96903;4748247
98;97902;4846149
99;98901;4945050
100;99900;5044950
