Level;XPNextLevel;XPAccumulated
long;long;long
1;832;832
2;1665;2497
3;2497;4995
4;3330;8325
5;4162;12487
6;4995;17482
7;5827;23310
8;6660;29970
9;7492;37462
10;8325;45787
11;9157;54945
12;9990;64935
13;10822;75757
14;11655;87412
15;12487;99900
16;13320;113220
17;14152;127372
18;14985;142357
19;15817;158175
20;16650;174825
21;17482;192307
22;18315;210622
23;19147;229770
24;19980;249750
25;20812;270562
26;21645;292207
27;22477;314685
28;23310;337995
29;24142;362137
30;24975;387112
31;25807;412920
32;26640;439560
33;27472;467032
34;28305;495337
35;29137;524475
36;29970;554445
37;30802;585247
38;31635;616882
39;32467;649350
40;33300;682650
41;34132;716782
42;34965;751747
43;35797;787545
44;36630;824175
45;37462;861637
46;38295;899932
47;39127;939060
48;39960;979020
49;40792;1019812
50;41625;1061437
51;42457;1103895
52;43290;1147185
53;44122;1191307
54;44955;1236262
55;45787;1282050
56;46620;1328670
57;47452;1376122
58;48285;1424407
59;49117;1473525
60;49950;1523475
61;50782;1574257
62;51615;1625872
63;52447;1678320
64;53280;1731600
65;54112;1785712
66;54945;1840657
67;55777;1896435
68;56610;1953045
69;57442;2010487
70;58275;2068762
71;59107;2127870
72;59940;2187810
73;60772;2248582
74;61605;2310187
75;62437;2372625
76;63270;2435895
77;64102;2499997
78;64935;2564932
79;65767;2630700
80;66600;2697300
81;67432;2764732
82;68265;2832997
83;69097;2902095
84;69930;2972025
85;70762;3042787
86;71595;3114382
87;72427;3186810
88;73260;3260070
89;74092;3334162
90;74925;3409087
91;75757;3484845
92;76590;3561435
93;77422;3638857
94;78255;3717112
95;79087;3796200
96;79920;3876120
97;80752;3956872
98;81585;4038457
99;82417;4120875
100;83250;4204125
