Level;XPNextLevel;XPAccumulated
int;long;long
1;200;200
2;400;599
3;599;1199
4;799;1998
5;999;2997
6;1199;4196
7;1399;5594
8;1598;7193
9;1798;8991
10;1998;10989
11;2198;13187
12;2398;15584
13;2597;18182
14;2797;20979
15;2997;23976
16;3197;27173
17;3397;30569
18;3596;34166
19;3796;37962
20;3996;41958
21;4196;46154
22;4396;50549
23;4595;55145
24;4795;59940
25;4995;64935
26;5195;70130
27;5395;75524
28;5594;81119
29;5794;86913
30;5994;92907
31;6194;99101
32;6394;105494
33;6593;112088
34;6793;118881
35;6993;125874
36;7193;133067
37;7393;140459
38;7592;148052
39;7792;155844
40;7992;163836
41;8192;172028
42;8392;180419
43;8591;189011
44;8791;197802
45;8991;206793
46;9191;215984
47;9391;225374
48;9590;234965
49;9790;244755
50;9990;254745
51;10190;264935
52;10390;275324
53;10589;285914
54;10789;296703
55;10989;307692
56;11189;318881
57;11389;330269
58;11588;341858
59;11788;353646
60;11988;365634
61;12188;377822
62;12388;390209
63;12587;402797
64;12787;415584
65;12987;428571
66;13187;441758
67;13387;455144
68;13586;468731
69;13786;482517
70;13986;496503
71;14186;510689
72;14386;525074
73;14585;539660
74;14785;554445
75;14985;569430
76;15185;584615
77;15385;599999
78;15584;615584
79;15784;631368
80;15984;647352
81;16184;663536
82;16384;679919
83;16583;696503
84;16783;713286
85;16983;730269
86;17183;747452
87;17383;764834
88;17582;782417
89;17782;800199
90;17982;818181
91;18182;836363
92;18382;854744
93;18581;873326
94;18781;892107
95;18981;911088
96;19181;930269
97;19381;949649
98;19580;969230
99;19780;989010
100;19980;1008990
