Level;XPNextLevel;XPAccumulated
int;int;int
1;3330;3330
2;6660;9990
3;9990;19980
4;13320;33300
5;16650;49950
6;19980;69930
7;23310;93240
8;26640;119880
9;29970;149850
10;33300;183150
11;36630;219780
12;39960;259740
13;43290;303030
14;46620;349650
15;49950;399600
16;53280;452880
17;56610;509490
18;59940;569430
19;63270;632700
20;66600;699300
21;69930;769230
22;73260;842490
23;76590;919080
24;79920;999000
25;83250;1082250
26;86580;1168830
27;89910;1258740
28;93240;1351980
29;96570;1448550
30;99900;1548450
31;103230;1651680
32;106560;1758240
33;109890;1868130
34;113220;1981350
35;116550;2097900
36;119880;2217780
37;123210;2340990
38;126540;2467530
39;129870;2597400
40;133200;2730600
41;136530;2867130
42;139860;3006990
43;143190;3150180
44;146520;3296700
45;149850;3446550
46;153180;3599730
47;156510;3756240
48;159840;3916080
49;163170;4079250
50;166500;4245750
51;169830;4415580
52;173160;4588740
53;176490;4765230
54;179820;4945050
55;183150;5128200
56;186480;5314680
57;189810;5504490
58;193140;5697630
59;196470;5894100
60;199800;6093900
61;203130;6297030
62;206460;6503490
63;209790;6713280
64;213120;6926400
65;216450;7142850
66;219780;7362630
67;223110;7585740
68;226440;7812180
69;229770;8041950
70;233100;8275050
71;236430;8511480
72;239760;8751240
73;243090;8994330
74;246420;9240750
75;249750;9490500
76;253080;9743580
77;256410;9999990
78;259740;10259730
79;263070;10522800
80;266400;10789200
81;269730;11058930
82;273060;11331990
83;276390;11608380
84;279720;11888100
85;283050;12171150
86;286380;12457530
87;289710;12747240
88;293040;13040280
89;296370;13336650
90;299700;13636350
91;303030;13939380
92;306360;14245740
93;309690;14555430
94;313020;14868450
95;316350;15184800
96;319680;15504480
97;323010;15827490
98;326340;16153830
99;329670;16483500
100;333000;16816500
